SpeedItem [upload=false, thread=0, time=6260216226, bytes=3884792]
SpeedItem [upload=false, thread=0, time=6275642056, bytes=3894824]
SpeedItem [upload=false, thread=0, time=6288507209, bytes=3899840]
SpeedItem [upload=false, thread=0, time=6301143150, bytes=3907364]
SpeedItem [upload=false, thread=0, time=6315298086, bytes=3914888]
SpeedItem [upload=false, thread=0, time=6326749848, bytes=3919904]
SpeedItem [upload=false, thread=0, time=6337187271, bytes=3927428]
SpeedItem [upload=false, thread=0, time=6354720907, bytes=3934952]
SpeedItem [upload=false, thread=0, time=6366901309, bytes=3939968]
SpeedItem [upload=false, thread=0, time=6380089122, bytes=3947492]
SpeedItem [upload=false, thread=0, time=6394181679, bytes=3955016]
SpeedItem [upload=false, thread=0, time=6404305454, bytes=3963794]
SpeedItem [upload=false, thread=0, time=6415729204, bytes=3970064]
SpeedItem [upload=false, thread=0, time=6427431312, bytes=3975080]
SpeedItem [upload=false, thread=0, time=6440164522, bytes=3982604]
SpeedItem [upload=false, thread=0, time=6451717874, bytes=3990128]
SpeedItem [upload=false, thread=0, time=6462021481, bytes=3997652]
SpeedItem [upload=false, thread=0, time=6473330576, bytes=4002668]
SpeedItem [upload=false, thread=0, time=6486298981, bytes=4010192]
SpeedItem [upload=false, thread=0, time=6502966461, bytes=4020224]
SpeedItem [upload=false, thread=0, time=6515608151, bytes=4027748]
SpeedItem [upload=false, thread=0, time=6528940198, bytes=4037780]
SpeedItem [upload=false, thread=0, time=6543334173, bytes=4042796]
SpeedItem [upload=false, thread=0, time=6553969429, bytes=4051574]
SpeedItem [upload=false, thread=0, time=6566096674, bytes=4062860]
SpeedItem [upload=false, thread=0, time=6580029048, bytes=4067876]
SpeedItem [upload=false, thread=0, time=6590127555, bytes=4075400]
SpeedItem [upload=false, thread=0, time=6600814227, bytes=4085432]
SpeedItem [upload=false, thread=0, time=6613416496, bytes=4090448]
SpeedItem [upload=false, thread=0, time=6629216189, bytes=4097972]
SpeedItem [upload=false, thread=0, time=6639938409, bytes=4110512]
SpeedItem [upload=false, thread=0, time=6653633272, bytes=4115528]
SpeedItem [upload=false, thread=0, time=6667194617, bytes=4123052]
SpeedItem [upload=false, thread=0, time=6677578437, bytes=4136846]
SpeedItem [upload=false, thread=0, time=6688292908, bytes=4140608]
SpeedItem [upload=false, thread=0, time=6702302682, bytes=4145624]
SpeedItem [upload=false, thread=0, time=6713672574, bytes=4160672]
SpeedItem [upload=false, thread=0, time=6728524236, bytes=4168196]
SpeedItem [upload=false, thread=0, time=6739893722, bytes=4173212]
SpeedItem [upload=false, thread=0, time=6751237429, bytes=4188260]
SpeedItem [upload=false, thread=0, time=6767693179, bytes=4193276]
SpeedItem [upload=false, thread=0, time=6778038317, bytes=4204562]
SpeedItem [upload=false, thread=0, time=6792209814, bytes=4215848]
SpeedItem [upload=false, thread=0, time=6802786982, bytes=4220864]
SpeedItem [upload=false, thread=0, time=6813482745, bytes=4229642]
SpeedItem [upload=false, thread=0, time=6823765417, bytes=4238420]
SpeedItem [upload=false, thread=0, time=6835730041, bytes=4245944]
SpeedItem [upload=false, thread=0, time=6879261539, bytes=4252548]
